*一个,"他一个, 一个个, 下一个",,yīgè ,"(one, unit); a, an ","by himself, one by one, next",
上,"上午, 上学, 以上, 马上",#上一个,shàng,up  ,"morning, attend school, the above, immediately ",
你们,,,nǐmén,"(you, plural); you",,
*过,"过来, 过年, 过分, 经过, 不过",做得太过分。#大家从这儿经过时也都小心着点儿。#那就再好不过,guò,pass ,"come over, Chinese new year, excessive, pass by, only/however ",
没有,"没有人, 没有意思",没有什么不可能,méiyǒu,"(what, interrogative); don't have","nobody, boring",nothing is impossible
*得,"得到, 得意, 心得, 难得",,dé,get,"get, pleased, experience/knowledge, rare",
得,不得了(3),,dé,terrible ,,
看,看管,,kān,look,look after/manage ,
看,"看法, 看到, 看样子,看上去, 好看, 难看",, kàn,look ,"opinion, notice, it seems, it seems, beautiful, ugly",
真,"真理, 真是, 真心, 天真",,zhēn,"real, genuine ","truth, indeed, sincere, innocent",
**着,"着手, 着想", #快着点儿。就着手干起来。他从不为别人着想,zhuó,"use, wear ","start, care ",
**着,"着呢,为着",#你看着办吧。对着干。她家里的事多着呢,zhe,action in progress ,"a lot(not quantity), for ",
事,"事实, 事先, 从事, 办事, 做事, 没事",,shì,"matter, business ","fact, beforehand, to manage, to manage, to manage, never mind",
这个,,,zhége,"(this, one);",,
*怎么,, 你昨天怎么没来?。我不怎么想去,zěnme,"(how,interrogative); how ",,"why, no feel like"
现在,,,xiànzài,"(appear/be at, rest); now",,
可以,,,kěyǐ,"(able, ); able",,
点,"甜心, 点子",三个钟点 ,diǎn,"dot, point ","dessert, drop",hour
*呢,,#你怎么以为我不喜欢你呢？,ne,interrogative particle,,
如果,,,rúguǒ,(such as/fruit); if,,
*只,,一只狗,zhī,animal counter,,
*只,"只好,只得",#只说不做。那只不过是句玩笑话,zhǐ,only ,"have to, have to",
别,"别人, 别的, 分别, 个别",,bié,leave,"someone else, other, separate(ly), individual",
哦,,,é ó ò,really?,,
但,"但是, 不但","他们都去了, 但我没去",dàn,but ,"however, not only",
被,,,,,,
走,"走近, 走过, 走风",钟不走子。他们两家走得很近。走遍天下,zǒu,walk ,"approach, pass by, fart",
*太,亚(ya4)太,不太好。不是太好了吗?,tài,"too, extreme",asia pacific,
这样,,,zhèyàng,"(this, kind); this way",,
里,"那里, 里面",,lǐ,place,"there, inside ",
跟,,"跟我去。跟好人, 学好人。快跟大家说说",gēn ,"follow, together",,
**告诉,,他告诉我们的，不像是真事,gàosu,"(tell, tell); tell",,
**因为,,,yīnwèi,"(because, do/act); because",,
**自己,,走自己的路，让别人去说吧,zìjǐ,"(self, self); oneself",,
再,"再三, 再生,  不再",时不再来,zài,again ,"repeatedly, regenerate/recycle, no more",
听,"听说, 听来, 听从, 好听, 难听",,tīng,listen ,"overheard, sounds like, obey, pleasant, hideous",
这里,,,zhèlǐ,"(this, place); here",,
快,"快点, 快要",快点吧。快要下雨了,kuài,quick ,"hurry up, almost",
谁,"谁也, 谁都, 谁的",这是谁的东西?。谁也不知道那个人到哪里去了,shuí,"who?, whom?, whose? ","anybody, anybody, whose",
但是,,,dànshì,"(but, yes); but",,
多,"多么, 多大, 最多",你多给了我两个。你女儿多大了?。四个多月。不一样的，多种多样的,duō," much, many, more than ","how/what a, how big/old, at most",
用,"用心, 实用, 没用", 零用钱。不用谢。用心去想一想,yòng,use ,"intention/dedication, practical, useless",
时候,,你什么时候再来看我们呢？,shíhòu,"(time, wait); moment",,
下,"下雨, 地下",下一个,shàng,down ,"rain, underground ",
已经,,,yǐjīng,"(already, through); already",,
谢谢,,,xièxie,"(thanks, thanks); thanks",,
为什么,,,wèishénme,"(do, tenth, interrogative); why?/for what reason?  ",,
觉得,,,juéde,"(conscious, get); think",,
天,"天天, 昨天, 今天, 明天, 天真",谢天谢地。我的天,tiān,"day, sky, god ","everyday, yesterday, today, tomorrow,  innocent",
*像,"好像, 想像, 像样",看上去像。你多像你的爸爸。到这儿就好像到了自己家一样,xiàng,"to reseemble, image ","maybe, imagine, presentable",
*这么,,,zhème,"(this, interrogative); so much, this way, like this  ",,
它,,,tā,it,,
从,"不从来, 从事","力不从心。从里到外。从这里到那里, 有很远?",cóng,"follow, from ","always, handle/engaged into",
先生,,#先来后到/先到先得,xiānshēng,"(former, life); mr, husband",,
$找,"找到, 找着, 找钱, 找零",#我找不到什么门路。你找的书找着了吗?。有人找她。这是找你的零钱。不用找钱了,zhǎo,find ,"find, find, give change,give change",
最,"最近, 最远, 最喜爱",,zuì,most ,"closest, farthest, favorite",
喜欢,,,xǐhuān,"(love, happy); love",,
可,"可口, 可可",没有什么不可能。你多么可人。不可多得的,kě,may ,"yummy, cocoa "," , ,rare"
*为,"为难, 为以, 为分, 成为",以人为本。一分为二。大有可为。事在人为,wéi,do ,"make difficult, assume, divide, become",
*为,"为什么, 为了, 为人",为的是,wèi ,because  ,"why, reason for, behavior",
大,"大会, 大学, 大小, 大家",,dà,big ,"meeting, university, size, family",
可能,,#没有什么不可能。你女儿可真是一个了不起的做饭能手,kěnéng,"(may, able); maybe",,
$需要,,#我知道她十分需要我的东西 ,xūyào,"(need, need); need",,
是的,,是的，它从书本上学不到,shìde,"(yes, possesive); that's right!",,
$死,,甜死了。大难不死。从来不死心,sǐ ,"die, deathly ",," ,escape from death,  "
$次,,,cì,"second, sequence, stopover",,
出,"出口, 出入, 出门, 出手,日出",为什么不说出口?,chū,"exit, out ","export/speak out, access/discrepancy, go out, sell, sunrise ",
*那么,,"#你不该那么做。在家, 那么我们不去了",nàme,"(that, interrogation); like that/about",,
*干,"干杯, 干果",,gān,"dry, ignore ","toast, nuts",
*干  ,能干,干什么。实干家,gàn,do ,capable  ,what for
那个,,,nàge,"(that, one); that one",,
$嘿,,, hēi,hey,,
们,,,men,several,,
**话,"笑话, 对话, 不像话, 二话",说实话。有话要说。不在话下。二话不说。说不出话来,huà,word ,"joke, dialog, absurd/shocking, objection "," , , piece of cake, , speechless "
*而,"而已, 从而","一而再, 再而三。只是想想而已",ér,and,"that's all, then",
么,,#什么时候,me,interrogative,,
东西 ,,东南西北,dōngxī  ,"(east, west); stuff",,
应该,,总的说来，她应该是个好人,yīnggāi,"(should, should); should",,
孩子,,,háizi,"(child, child); child",,
起来,,,qǐlái,"(rise, beginning); get up",,
所以,,,,,,
*这些,,,zhèxiē,"(this, few); these",,
$才,鬼才,"大才小用。怎么, 才来就要走 ? 。自学成才",cái,"talent, recently ",devil,
两,,两下子,liǎng,"pair, two ",trick/get around,
错,,,,,,
还有,,,háiyǒu,"(still, has); also",,
又,,,,,,
小,,,xiǎo,small,,
中,,,zhōng,"middle, all right",,
叫,,,,,,
嗯,,,,,,
$该,,,gāi,should,,
$等,上等,等一等/等一下/等一会,děng,wait ,rank ,one moment
问题,,,,,,
一起,,,yīqǐ,"one/rise, begin ",all together,
拿,,,,,,
更,,,,,,
开始,,,,,,
帮,,,,,,
打,,,,,,
*爱 ,,她爱怎么办就怎么办,ài,v. love,,
带,,,,,,
*时间,,,shíjiān,"(time, space); time",,
年,,,nián,"year, grain, harvest",,
请,,,,,,
回,,,,,,
工作,,,,,,
然后,,,,,,
当,,,,,,
见,,,,,,
钱,,,qián,money,,
噢,,,,,,
一样, 一个样,,yīyáng   ,"(one, shape); same",,
事情,,,,,,
就是,,,jiùshì,"(only/already, yes); exactly",,
吃,,,chī,eat,,
所有,,,,,,
开,,,kāi,open,,
一下,,,yīxià,"give it a try, one time, suddenly",,
家,,,jiā,"home, family",,
非常,,,,,,
看到,,,kàndào,"(look/arrive, until); notice",,
$希望,,大有希望,xīwàng,"(hope, look forward); wish",,promising
